#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-06-04T23:29:25 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b15cb297d6b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/PASP/129/E4501&tab:{J/PASP/129/E4501/table1}&key:source=J/PASP/129/E4501&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/PASP/129/E4501/table1
#-order=I
#-out=Star
#-out=RAJ2000
#-out=DEJ2000
#-out=Ep
#-out=Vmag
#-out=SpType
#-out=Dist
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_61303501
#Name: J/PASP/129/E4501
#Title: Search for extraterrestrial intelligence (Isaacson+, 2017)
#Table	J_PASP_129_E4501_table1:
#Name: J/PASP/129/E4501/table1
#Title: Stellar Targets
#Column	Star	(A9)	Star name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Ep	(I4)	[2000] Epoch	[ucd=time.epoch]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	SpType	(a7)	Spectral type	[ucd=src.spType]
#Column	Dist	(F5.2)	Distance	[ucd=pos.distance;pos.heliocentric]
#Column	pmRA	(F5.2)	Proper motion along RA, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F5.2)	Proper motion along DE	[ucd=pos.pm;pos.eq.dec]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
Star|RAJ2000|DEJ2000|Ep|Vmag|SpType|Dist|pmRA|pmDE|SimbadName
HIP28954 |06 06 40.5|+15 32 31|2000| 6.76|K0     |15.40|-0.12|-0.10|HIP28954
HIP29052 |06 07 43.7|-25 44 41|2000|11.80|---    |11.40|-0.18|-0.20|HIP29052
HIP29067 |06 07 55.3|+67 58 36|2000| 9.75|K8     |24.90|-0.05|-0.11|HIP29067
HIP29271 |06 10 14.5|-74 45 10|2000| 5.08|G5V    |10.10| 0.12|-0.21|HIP29271
HIP29277 |06 10 19.8|+82 06 24|2000|10.40|M3     | 9.39| 0.05|-1.34|HIP29277
HIP29295 |06 10 34.6|-21 51 52|2000| 8.15|M1/M2V | 5.77|-0.14|-0.71|HIP29295
HIP29432 |06 12 00.6|+06 46 59|2000| 6.85|G4V    |23.10| 0.20|-0.25|HIP29432
HIP29525 |06 13 12.5|+10 37 37|2000| 6.43|G8V    |18.10| 0.08|-0.30|HIP29525
HIP29548 |06 13 35.3|+63 23 38|2000| 9.67|M0     |24.70| 0.17|-0.20|HIP29548
HIP29568 |06 13 45.3|-23 51 42|2000| 6.37|G5V    |16.60|-0.05| 0.11|HIP29568
HIP29650 |06 14 50.9|+19 09 23|2000| 5.20|F6V    |21.10|-0.10|-0.18|HIP29650
HIP29761 |06 16 02.7|+70 46 53|2000| 7.43|G5     |25.70|-0.01|-0.44|HIP29761
HIP29800 |06 16 26.6|+12 16 19|2000| 5.04|F5IV-V |19.60| 0.08| 0.19|HIP29800
HIP29860 |06 17 16.1|+05 06 00|2000| 5.70|G0.5Vb |19.30|-0.19| 0.17|HIP29860
HIP30060 |06 19 37.4|+59 00 39|2000| 4.44|A2Vs   |45.70| 0.00| 0.02|HIP30060
HIP30112 |06 20 13.2|+02 15 32|2000| 9.83|K7V    |27.90|-0.12|-0.10|HIP30112
HIP30314 |06 22 30.9|-60 13 07|2000| 6.53|G1V    |23.40|-0.01| 0.06|HIP30314
HIP30419 |06 23 46.1|+04 35 34|2000| 4.39|A5IV   |39.30|-0.02| 0.01|HIP30419
HIP30503 |06 24 43.9|-28 46 48|2000| 6.37|G2V    |22.00|-0.16|-0.12|HIP30503
HIP30630 |06 26 10.2|+18 45 24|2000| 6.78|K0     |14.60|-0.12|-0.16|HIP30630
HIP30756 |06 27 46.0|+20 46 59|2000| 8.59|G0     |18.00| 0.04|-0.03|HIP30756
GJ234    |06 29 23.4|-02 48 49|2000|11.10|M4.5V  | 4.09| 0.69|-0.62|GJ234
HIP31167 |06 32 23.1|-05 52 07|2000| 5.60|F0Vnn+.|43.20| 0.00|-0.04|HIP31167
HIP31592 |06 36 41.0|-19 15 21|2000| 3.95|K1III+.|19.80| 0.06|-0.07|HIP31592
HIP31635 |06 37 10.8|+17 33 53|2000| 9.63|M1:    | 9.84|-0.78| 0.33|HIP31635
HIP31634 |06 37 11.2|-50 02 17|2000| 9.61|K0     |15.10| 0.16| 0.01|HIP31634
HIP31703 |06 37 54.9|+73 41 44|2000| 6.26|F2     |35.50|-0.17| 0.00|HIP31703
HIP31711 |06 38 00.4|-61 32 00|2000| 6.15|G1/G2V |21.60|-0.05| 0.07|HIP31711
HIP31878 |06 39 50.0|-61 28 41|2000| 9.71|M1V    |21.90|-0.03| 0.08|HIP31878
HIP32010 |06 41 15.7|+23 57 27|2000| 8.08|K2     |17.50| 0.21|-0.28|HIP32010
HIP32322 |06 44 52.0|-27 20 30|2000| 6.43|F7V    |26.50|-0.01| 0.29|HIP32322
GJ244    |06 45 08.9|-16 42 58|2000|-1.40|A1V    | 2.63|-0.55|-1.22|GJ244A
HIP32366 |06 45 22.9|-31 47 37|2000| 5.92|F7V    |24.20|-0.20|-0.30|HIP32366
HIP32423 |06 46 05.1|+32 33 20|2000| 8.80|K3V    |24.90|-0.45| 0.10|HIP32423
HIP32439 |06 46 14.2|+79 33 53|2000| 5.44|F8V    |17.80|-0.10|-0.60|HIP32439
HIP32480 |06 46 44.3|+43 34 38|2000| 5.24|G0V    |16.50| 0.00| 0.17|HIP32480
HIP32617 |06 48 19.1|-01 19 08|2000| 5.75|F1V    |40.00|-0.04|-0.03|HIP32617
HIP32765 |06 49 54.6|-46 36 52|2000| 5.14|F5III  |25.20| 0.00| 0.37|HIP32765
HIP32769 |06 49 57.0|+60 20 07|2000| 8.59|M0p    |16.40| 0.25| 0.41|HIP32769
HIP32851 |06 50 49.8|-00 32 27|2000| 5.78|F2V    |29.80| 0.02|-0.19|HIP32851
HIP32919 |06 51 32.4|+47 22 04|2000| 8.95|K2     |18.80|-0.25|-0.69|HIP32919
HIP32984 |06 52 18.1|-05 10 25|2000| 6.58|K3V    | 8.70|-0.54| 0.00|HIP32984
HIP33142 |06 54 04.2|+60 52 18|2000|11.00|M:     |10.60| 0.49|-0.99|HIP33142
HIP33202 |06 54 38.6|+13 10 40|2000| 4.73|F0Vp   |27.90| 0.07|-0.08|HIP33202
HIP33226 |06 54 49.0|+33 16 05|2000| 9.89|K:...  | 5.51|-0.73|-0.40|HIP33226
HIP33277 |06 55 18.7|+25 22 32|2000| 5.74|G0V    |17.20|-0.04| 0.03|HIP33277
HIP33302 |06 55 37.4|-20 08 11|2000| 4.66|F2IV/V |29.20| 0.05| 0.04|HIP33302
HIP33373 |06 56 28.1|+40 04 27|2000| 9.08|K5V    |24.00| 0.12|-0.44|HIP33373
HIP33428 |06 57 04.7|+30 45 23|2000| 9.68|M0     |18.60| 0.08|-0.22|HIP33428
HIP33478 |06 57 33.9|-24 37 51|2000| 5.45|F3V    |38.50|-0.10| 0.09|HIP33478
HIP33499 |06 57 46.6|-44 17 28|2000|10.80|M4+... | 8.02|-1.10|-0.04|HIP33499
HIP33537 |06 58 11.8|+22 28 33|2000| 6.94|G5V    |24.20| 0.05| 0.10|HIP33537
HIP33560 |06 58 26.1|-12 59 30|2000| 9.14|K4V    |22.30| 0.05|-0.15|HIP33560
HIP33690 |06 59 59.7|-61 20 10|2000| 6.81|K0IV-V |18.40|-0.16| 0.26|HIP33690
HIP33817 |07 01 13.7|-25 56 55|2000| 6.71|K1V    |14.60| 0.21| 0.04|HIP33817
HIP33852 |07 01 38.6|+48 22 43|2000| 7.98|K3V    |20.40| 0.55|-0.43|HIP33852
HIP33955 |07 02 42.9|-06 47 57|2000| 8.38|K5V    |18.70|-0.20|-0.31|HIP33955
HIP34017 |07 03 30.5|+29 20 13|2000| 5.93|G4V    |19.00| 0.16|-0.83|HIP34017
HIP34052 |07 03 50.2|-43 33 40|2000| 8.67|K5V... |16.90|-0.08| 0.40|HIP34052
HIP34065 |07 03 57.3|-43 36 28|2000| 5.56|G3V... |16.20|-0.10| 0.39|HIP34065
HIP34069 |07 03 58.9|-43 36 40|2000| 6.83|K0V    |15.00|-0.10| 0.40|HIP34069
HIP34104 |07 04 17.7|+10 30 31|2000|10.90|M5     |15.30|-0.12|-0.82|HIP34104
HIP34115 |07 04 25.9|+68 17 19|2000|11.90|M5     |15.20| 0.35| 0.05|HIP34115
HIP34341 |07 07 09.3|+03 26 50|2000| 9.84|M0V    |26.70| 0.01|-0.27|HIP34341
HIP34361 |07 07 22.9|-21 27 27|2000|11.10|M2V:   |17.20| 0.20|-0.21|HIP34361
HIP34414 |07 08 04.2|+29 50 04|2000| 8.32|G5     |22.20|-0.16|-0.30|HIP34414
HIP34567 |07 09 35.4|+25 43 43|2000| 7.09|G8V    |24.50|-0.12|-0.18|HIP34567
HIP34782 |07 12 04.1|-30 49 16|2000| 6.10|A8III/I|47.50|-0.04| 0.02|HIP34782
HIP34834 |07 12 33.6|-46 45 33|2000| 4.49|F0IV   |21.10|-0.14| 0.11|HIP34834
HIP34890 |07 13 07.1|-63 20 41|2000| 9.08|K5V    |19.90|-0.27| 0.58|HIP34890
HIP34950 |07 13 53.1|+25 00 40|2000| 8.40|K1V    |25.10|-0.41|-0.09|HIP34950
HIP35136 |07 15 50.1|+47 14 23|2000| 5.54|G0V    |16.80| 0.03|-0.19|HIP35136
HIP35191 |07 16 19.8|+27 08 32|2000|10.80|---    |12.30|-0.04|-0.20|HIP35191
HIP35296 |07 17 29.6|-46 58 45|2000| 6.70|K2V    |14.70|-0.02| 0.59|HIP35296
HIP35350 |07 18 05.6|+16 32 25|2000| 3.58|A3V... |28.90|-0.05|-0.04|HIP35350
HIP35550 |07 20 07.4|+21 58 56|2000| 3.50|F0IV...|18.00|-0.02|-0.01|HIP35550
HIP35643 |07 21 17.5|+45 13 41|2000| 5.74|A7s    |34.40|-0.05| 0.01|HIP35643
HIP35821 |07 23 14.9|+46 05 14|2000|10.50|M2     |16.20|-0.12|-0.24|HIP35821
HIP35872 |07 23 47.1|+12 57 52|2000| 8.19|G5     |25.00| 0.08|-0.43|HIP35872
HIP36046 |07 25 43.6|+27 47 53|2000| 3.78|G9III+.|38.60|-0.12|-0.08|HIP36046
HIP36121 |07 26 26.6|-15 46 13|2000| 9.21|K4V    |25.60| 0.05|-0.10|HIP36121
HIP36152 |07 26 50.3|+21 32 08|2000| 6.54|F6V    |30.80|-0.31|-0.03|HIP36152
GJ273    |07 27 24.5|+05 13 33|2000| 9.85|M3.5V  | 3.75| 0.57|-3.69|GJ273
HIP36210 |07 27 25.5|-51 24 09|2000| 6.72|G5IV-V |22.50|-0.29| 0.00|HIP36210
HIP36349 |07 28 51.4|-30 14 48|2000| 9.96|M1V:e..|15.50|-0.13|-0.13|HIP36349
HIP36357 |07 29 01.8|+31 59 37|2000| 7.73|K2V    |17.50| 0.16| 0.17|HIP36357
HIP36366 |07 29 06.7|+31 47 04|2000| 4.16|F0V... |18.40| 0.16| 0.19|HIP36366
HIP36393 |07 29 20.4|+28 07 05|2000| 5.07|A4V    |50.00|-0.03|-0.05|HIP36393
HIP36399 |07 29 25.6|-07 33 04|2000| 5.86|F8V    |27.80| 0.05| 0.13|HIP36399
HIP36439 |07 29 56.0|+49 40 20|2000| 5.35|F6V    |19.90| 0.11|-0.08|HIP36439
HIP36515 |07 30 42.5|-37 20 21|2000| 6.66|G3V    |21.70|-0.09| 0.05|HIP36515
HIP36551 |07 31 07.7|+14 36 50|2000| 8.94|K5     |21.20| 0.07|-0.29|HIP36551
HIP36627 |07 31 57.3|+36 13 47|2000|11.80|M4     |11.40|-0.26|-0.25|HIP36627
HIP36704 |07 33 00.6|+37 01 47|2000| 7.68|G5     |19.60|-0.05| 0.01|HIP36704
HIP36817 |07 34 18.6|-23 28 25|2000| 5.06|F6V    |29.00|-0.09| 0.00|HIP36817
HIP36827 |07 34 26.2|-06 53 48|2000| 8.16|K2V    |24.80|-0.08|-0.04|HIP36827
HIP36850 |07 34 35.9|+31 53 17|2000| 1.58|A2Vm   |15.80|-0.21|-0.15|HIP36850
HIP36915 |07 35 21.9|+54 50 59|2000|11.30|M0     |13.10|-0.12| 0.02|HIP36915
HIP36927 |07 35 26.8|-52 26 33|2000| 8.78|K3IV-V |25.20|-0.11| 0.26|HIP36927
HIP36985 |07 36 07.1|-03 06 38|2000| 9.87|---    |14.30| 0.04|-0.25|HIP36985
HIP37217 |07 38 41.0|-21 13 28|2000|11.60|M2     |10.80| 0.45|-0.47|HIP37217
GJ280    |07 39 18.1|+05 13 29|2000| 0.37|F5IV   | 3.50|-0.72|-1.04|GJ280
HIP37288 |07 39 23.0|+02 11 01|2000| 9.66|M0     |14.80|-0.15|-0.25|HIP37288
HIP37349 |07 39 59.3|-03 35 51|2000| 7.18|K2V    |14.10| 0.07|-0.28|HIP37349
HIP37494 |07 41 45.1|+49 13 19|2000| 9.73|K4     |26.70|-0.06| 0.00|HIP37494
HIP37629 |07 43 18.7|+28 53 00|2000| 4.23|K1III S|37.40| 0.06|-0.23|HIP37629
HIP37766 |07 44 40.2|+03 33 08|2000|11.10|M4.5Ve | 5.93|-0.34|-0.45|HIP37766
HIP37826 |07 45 18.9|+28 01 34|2000| 1.16|K0IIIva|10.30|-0.63|-0.05|HIP37826
HIP37853 |07 45 35.0|-34 10 20|2000| 5.36|G0V    |15.10|-0.22| 1.72|HIP37853
HIP38048 |07 47 56.7|-12 11 33|2000| 5.48|F5+... |30.20|-0.10| 0.08|HIP38048
HIP38082 |07 48 16.4|+20 22 05|2000|11.40|M2     |14.10| 1.45|-0.99|HIP38082
HIP38117 |07 48 39.6|+53 38 54|2000| 8.86|K4V    |26.20|-0.12|-0.53|HIP38117
HIP38228 |07 49 55.1|+27 21 47|2000| 6.90|G5IV   |21.80|-0.01|-0.01|HIP38228
HIP38325 |07 51 05.7|+54 07 45|2000| 6.03|F6V    |30.00|-0.04| 0.05|HIP38325
HIP38382 |07 51 46.3|-13 53 52|2000| 5.16|G2V    |16.60|-0.07|-0.34|HIP38382
HIP38423 |07 52 15.7|-34 42 19|2000| 5.01|F3/F5V |18.00|-0.20| 0.24|HIP38423
HIP38594 |07 54 10.9|-25 18 11|2000| 9.75|M      |19.50|-0.30| 0.20|HIP38594
HIP38625 |07 54 34.2|-01 24 44|2000| 7.43|G8V    |19.20|-0.25|-0.06|HIP38625
HIP38657 |07 54 54.1|+19 14 10|2000| 7.76|K2     |19.90| 0.09|-0.45|HIP38657
HIP38712 |07 55 31.4|+08 51 46|2000| 5.86|F2IV   |38.10|-0.01|-0.09|HIP38712
HIP38784 |07 56 17.2|+80 15 55|2000| 6.55|G8V    |17.00|-0.48| 0.09|HIP38784
HIP38908 |07 57 46.9|-60 18 11|2000| 5.59|G2V... |16.10| 0.52| 0.12|HIP38908
HIP38910 |07 57 48.5|-33 57 07|2000| 8.83|K5V    |18.30| 0.14| 0.30|HIP38910
HIP38931 |07 57 57.8|-00 48 51|2000| 8.05|K5V    |17.40|-0.16| 0.00|HIP38931
HIP38939 |07 58 04.4|-25 37 35|2000| 8.42|K3V    |18.20| 0.36|-0.25|HIP38939
HIP38956 |07 58 12.7|+41 18 13|2000|12.00|M4V    | 8.16| 0.21|-0.69|HIP38956
HIP39064 |07 59 33.9|+20 50 38|2000| 7.68|K0V    |23.10| 0.18|-0.54|HIP39064
HIP39157 |08 00 32.1|+29 12 44|2000| 6.97|G8V    |16.80|-0.17|-1.16|HIP39157
HIP39342 |08 02 31.2|-66 01 15|2000| 7.18|K1V    |17.20|-0.16|-0.13|HIP39342
HIP39494 |08 04 22.7|+43 57 42|2000| 9.83|M0     |25.30| 0.15|-0.02|HIP39494
HIP39826 |08 08 13.2|+21 06 18|2000| 9.41|M:     |17.10|-0.30|-0.35|HIP39826
HIP39896 |08 08 56.4|+32 49 11|2000| 9.90|M0.5V:e|20.70|-0.03|-0.22|HIP39896
HIP39903 |08 09 00.7|-61 18 08|2000| 4.74|F5V    |21.30|-0.16|-0.30|HIP39903
HIP40035 |08 10 39.8|-13 47 57|2000| 5.53|F7V    |22.40|-0.25| 0.06|HIP40035
HIP40118 |08 11 38.6|+32 27 25|2000| 6.78|G4V    |21.70|-0.46|-0.64|HIP40118
HIP40239 |08 13 08.5|-13 55 01|2000| 9.38|M0V    |21.60|-0.19|-0.51|HIP40239
HIP40375 |08 14 35.9|+13 01 22|2000| 8.79|K5     |18.30|-0.42| 0.10|HIP40375
HIP40438 |08 15 25.2|-52 03 37|2000| 6.63|G1V    |27.00|-0.01|-0.06|HIP40438
HIP40501 |08 16 08.0|+01 18 09|2000|10.00|---    | 9.15|-0.38| 0.06|HIP40501
HIP40671 |08 18 10.8|+30 36 02|2000| 8.82|K4V    |22.50|-0.28|-0.82|HIP40671
HIP40693 |08 18 23.9|-12 37 55|2000| 5.95|K0V    |12.50| 0.28|-0.99|HIP40693
HIP40702 |08 18 31.6|-76 55 10|2000| 4.05|F5III  |19.40| 0.11| 0.11|HIP40702
HIP40706 |08 18 33.3|-36 39 33|2000| 4.44|A4m... |28.50|-0.11| 0.10|HIP40706
HIP40774 |08 19 19.1|+01 20 19|2000| 8.35|G5     |23.30|-0.16|-0.05|HIP40774
HIP40843 |08 20 03.9|+27 13 03|2000| 5.13|F6V    |18.10|-0.02|-0.38|HIP40843
HIP40875 |08 20 26.1|+57 44 35|2000| 5.89|F4V    |31.60| 0.06| 0.01|HIP40875
HIP40910 |08 20 55.3|+14 04 16|2000| 9.75|M0     |23.40|-0.08|-0.26|HIP40910
HIP41130 |08 23 30.9|+21 50 57|2000| 9.52|M0     |27.00| 0.30|-0.24|HIP41130
HIP41211 |08 24 35.0|-03 45 04|2000| 5.61|F3V    |27.20|-0.21|-0.03|HIP41211
HIP41307 |08 25 39.6|-03 54 23|2000| 3.91|A0V    |38.30|-0.07|-0.02|HIP41307
HIP41312 |08 25 44.2|-66 08 12|2000| 3.77|K2IIIva|33.10|-0.04|-0.15|HIP41312
HIP41484 |08 27 36.8|+45 39 10|2000| 6.32|G5V    |21.70|-0.02|-0.35|HIP41484
GJ1111   |08 29 49.5|+26 46 37|2000|14.90|M6.0V  | 3.62|-1.14|-0.60|GJ1111
HIP41689 |08 29 56.3|+61 43 32|2000|10.20|M0     |19.10| 0.53|-0.72|HIP41689
HIP41926 |08 32 51.5|-31 30 03|2000| 6.38|K0V    |12.10|-1.11| 0.76|HIP41926
HIP42074 |08 34 31.6|-00 43 33|2000| 7.32|G5     |21.70|-0.19| 0.02|HIP42074
HIP42080 |08 34 36.1|+65 08 42|2000| 5.47|A2m    |48.40|-0.05|-0.04|HIP42080
HIP42172 |08 35 51.0|+06 37 12|2000| 5.91|F8V    |26.50|-0.13|-0.13|HIP42172
HIP42173 |08 35 51.3|+06 37 22|2000| 7.25|G5V    |23.40|-0.12|-0.13|HIP42173
HIP42220 |08 36 25.5|+67 17 42|2000| 9.28|M2     |13.80|-1.07| 0.07|HIP42220
HIP42333 |08 37 50.3|-06 48 24|2000| 6.74|G0     |23.60|-0.30| 0.04|HIP42333
HIP42418 |08 39 00.2|+06 57 19|2000| 7.90|K0     |25.40|-0.09|-0.29|HIP42418
HIP42438 |08 39 11.7|+65 01 15|2000| 5.63|G1.5Vb |14.20|-0.03| 0.09|HIP42438
HIP42499 |08 39 50.8|+11 31 21|2000| 7.61|K1V    |18.50|-0.11|-0.50|HIP42499
HIP42697 |08 42 07.5|-42 55 45|2000| 8.11|K2V    |22.30|-0.27|-0.09|HIP42697
HIP42748 |08 42 44.5|+09 33 24|2000| 9.62|M0     |13.30| 0.22|-0.63|HIP42748
HIP42762 |08 42 52.2|+09 33 11|2000|11.80|M5     |15.40| 0.22|-0.62|HIP42762
HIP42806 |08 43 17.1|+21 28 06|2000| 4.66|A1IV   |48.50|-0.11|-0.04|HIP42806
HIP42808 |08 43 18.0|-38 52 56|2000| 6.58|K2V    |11.10|-0.30| 0.34|HIP42808
HIP42913 |08 44 42.2|-54 42 31|2000| 1.93|A1V    |24.40| 0.03|-0.10|HIP42913
HIP42940 |08 45 10.4|+41 40 18|2000| 8.52|K3V    |25.90|-0.28|-0.65|HIP42940
HIP43233 |08 48 26.2|+06 28 06|2000|10.30|M0     |25.80| 0.21|-0.44|HIP43233
HIP43534 |08 52 00.3|+66 07 53|2000| 9.26|K5     |16.40| 0.09| 0.10|HIP43534
HIP43557 |08 52 16.4|+08 03 46|2000| 6.57|G0     |24.10| 0.15|-0.24|HIP43557
HIP43587 |08 52 35.8|+28 19 50|2000| 5.96|G8V    |12.50|-0.49|-0.23|HIP43587
HIP43667 |08 53 47.3|+35 13 19|2000| 9.27|M0V:   |25.80|-0.20|-0.29|HIP43667
HIP43726 |08 54 17.9|-05 26 04|2000| 6.01|G3V    |17.00|-0.41| 0.03|HIP43726
HIP43790 |08 55 07.6|+01 32 47|2000| 9.99|M1     |20.00| 0.05|-1.04|HIP43790
HIP43797 |08 55 11.8|-54 57 56|2000| 5.70|F6V    |24.10| 0.02|-0.09|HIP43797
HIP43852 |08 55 55.7|+36 11 46|2000| 7.69|G5     |26.10|-0.02|-0.01|HIP43852
HIP43970 |08 57 14.9|+15 19 21|2000| 5.22|A5III  |49.00| 0.06| 0.02|HIP43970
HIP44001 |08 57 35.2|+15 34 52|2000| 5.68|F0IV   |49.20| 0.06| 0.02|HIP44001
HIP44072 |08 58 38.2|+20 32 48|2000| 9.22|M0     |20.60| 0.66|-0.17|HIP44072
HIP44075 |08 58 43.9|-16 07 57|2000| 5.80|F7/F8IV|21.30| 0.24| 0.21|HIP44075
HIP44127 |08 59 12.5|+48 02 30|2000| 3.12|A7IV   |14.60|-0.44|-0.22|HIP44127
HIP44143 |08 59 24.2|-59 05 01|2000| 5.17|F3V    |26.10|-0.17| 0.28|HIP44143
HIP44248 |09 00 38.4|+41 46 58|2000| 3.96|F5V    |16.40|-0.49|-0.22|HIP44248
HIP44295 |09 01 17.5|+15 15 56|2000| 8.67|M0V:p..|18.30|-0.13|-0.32|HIP44295
HIP44382 |09 02 26.8|-66 23 45|2000| 4.00|Am     |38.10| 0.00|-0.10|HIP44382
HIP44722 |09 06 45.3|-08 48 24|2000| 9.50|M0     |14.50|-0.31| 0.21|HIP44722
HIP44897 |09 08 51.1|+33 52 55|2000| 5.95|F9V    |19.10|-0.19|-0.12|HIP44897
HIP44899 |09 08 52.1|-34 50 33|2000|10.30|K7V    |22.30| 0.24|-0.25|HIP44899
HIP44901 |09 08 52.3|+51 36 16|2000| 4.46|Am     |29.30|-0.14|-0.03|HIP44901
HIP44955 |09 09 30.6|+32 49 09|2000| 9.96|M2     |21.10|-0.33|-0.63|HIP44955
HIP44984 |09 09 46.4|+11 33 51|2000| 6.48|F2p    |37.60|-0.04|-0.06|HIP44984
HIP45038 |09 10 23.5|+67 08 02|2000| 4.80|F7IV-V |20.40| 0.01|-0.09|HIP45038
HIP45075 |09 10 55.1|+63 30 49|2000| 4.67|Am     |37.30| 0.10|-0.06|HIP45075
HIP45170 |09 12 17.6|+14 59 45|2000| 6.49|G9V    |20.40|-0.52| 0.25|HIP45170
HIP45336 |09 14 21.9|+02 18 51|2000| 3.89|B9.5V  |39.40| 0.11|-0.31|HIP45336
HIP45343 |09 14 22.8|+52 41 11|2000| 7.64|M0V    | 6.18|-1.53|-0.56|HIP45343
HIP120005|09 14 24.7|+52 41 10|2000| 7.70|K2     | 6.27|-1.55|-0.66|HIP120005
HIP45383 |09 14 53.7|+04 26 34|2000| 7.91|K0     |18.40|-0.11| 0.00|HIP45383
HIP45493 |09 16 11.3|+54 01 18|2000| 4.80|A5V    |36.20| 0.05| 0.06|HIP45493
HIP45617 |09 17 53.5|+28 33 37|2000| 7.20|K3V    |17.50| 0.05|-0.51|HIP45617
HIP45637 |09 18 08.9|-57 46 07|2000| 9.52|K7V    |23.40|-0.09| 0.47|HIP45637
HIP45688 |09 18 50.6|+36 48 09|2000| 3.82|A1V    |37.30|-0.03|-0.12|HIP45688
HIP45836 |09 20 43.8|+51 15 57|2000| 6.14|F3V    |29.00|-0.03| 0.15|HIP45836
HIP45839 |09 20 44.3|-05 45 14|2000| 9.10|K2     |24.10|-0.36|-0.12|HIP45839
HIP45908 |09 21 37.6|-60 16 55|2000| 9.49|M0V    |10.40|-0.84| 0.18|HIP45908
HIP45963 |09 22 25.9|+40 12 03|2000| 7.69|K2V    |24.20|-0.34|-0.36|HIP45963
HIP46199 |09 25 10.8|+46 05 53|2000| 9.09|K0     |25.70|-0.23| 0.02|HIP46199
HIP46343 |09 26 53.1|+75 56 03|2000| 9.02|K2     |20.00|-0.35|-0.10|HIP46343
HIP46417 |09 27 56.2|+80 34 48|2000| 9.27|K8     |22.90| 0.01|-0.44|HIP46417
HIP46509 |09 29 08.9|-02 46 08|2000| 4.59|F6V    |17.00| 0.10| 0.00|HIP46509
HIP46549 |09 29 35.0|-05 22 21|2000| 9.74|M0:    |23.50|-0.48| 0.03|HIP46549
HIP46580 |09 29 54.8|+05 39 18|2000| 7.20|K3V    |12.60|-0.50| 0.11|HIP46580
HIP46626 |09 30 28.1|-32 06 12|2000| 8.31|K3/K4V |19.30|-0.07| 0.32|HIP46626
HIP46651 |09 30 42.0|-40 28 00|2000| 3.60|F2IV   |18.50|-0.15| 0.05|HIP46651
HIP46706 |09 31 19.4|-13 29 19|2000|10.00|M2     |10.50| 0.72| 0.05|HIP46706
HIP46733 |09 31 31.7|+63 03 42|2000| 3.65|F0IV   |23.10| 0.11| 0.03|HIP46733
HIP46769 |09 31 56.3|+36 19 12|2000|10.10|M0     |13.50|-0.21|-0.52|HIP46769
HIP46816 |09 32 25.6|-11 11 04|2000| 7.82|K0     |18.30|-0.25| 0.04|HIP46816
HIP46843 |09 32 43.8|+26 59 18|2000| 7.05|K0     |17.70|-0.15|-0.25|HIP46843
HIP46853 |09 32 51.4|+51 40 38|2000| 3.17|F6IV   |13.40|-0.95|-0.54|HIP46853
HIP47080 |09 35 39.5|+35 48 36|2000| 5.40|G8IV-V |11.10|-0.73|-0.26|HIP47080
HIP47103 |09 36 01.6|-21 39 38|2000|10.90|K      | 8.97| 0.14|-0.99|HIP47103
HIP47175 |09 36 49.5|-49 21 18|2000| 4.34|A5V    |32.90|-0.13| 0.04|HIP47175
HIP47201 |09 37 11.3|+22 41 38|2000| 9.43|M0V:   |21.90|-0.15|-0.18|HIP47201
HIP47300 |09 38 21.8|+40 14 23|2000| 5.28|F0V    |38.30|-0.01| 0.01|HIP47300
HIP47425 |09 39 46.4|-41 04 03|2000|10.70|M:     | 9.49|-0.53| 0.36|HIP47425
HIP47513 |09 41 10.4|+13 12 34|2000|10.30|M2     |11.30|-0.66|-0.14|HIP47513
HIP47592 |09 42 14.4|-23 54 56|2000| 4.93|G0V    |14.80|-0.40| 0.26|HIP47592
HIP47690 |09 43 25.7|+42 41 29|2000| 8.13|K5V    |17.70| 0.03|-0.83|HIP47690
HIP47701 |09 43 33.3|+29 58 28|2000| 5.64|A2IV   |48.80|-0.02|-0.10|HIP47701
HIP47741 |09 43 55.6|+26 58 08|2000|12.00|M:     |14.10|-0.58|-0.10|HIP47741
HIP47780 |09 44 29.8|-45 46 35|2000|10.20|M1:    | 9.81|-0.47|-0.59|HIP47780
